Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
0.44102,0.27426,0.48948,0.70581,0.60887,0.17761,NaN,1.0366,NaN,1.1129,0.35684,0.35929,0.52537,0.65056,2.0451,1.0195,mRpS7
1.069,1.1406,1.546,1.0333,NaN,1.422,0.89398,NaN,NaN,1.1255,1.1051,1.0742,0.86015,NaN,1.3459,0.60196,inaF-B
0.80617,0.75922,0.89033,0.73855,0.8422,NaN,1.0329,NaN,NaN,1.1502,0.98579,0.99588,1.0596,0.911,0.6861,0.71862,CG3246-RA
1.8019,1.9302,1.3232,1.0881,1.3609,1.4716,NaN,NaN,NaN,1.1549,1.4332,1.2978,1.0052,1.0505,1.0545,0.97488,
0.66238,0.80778,0.73435,0.40284,0.57729,1.6371,0.44713,NaN,NaN,1.1575,NaN,NaN,NaN,0.95655,1.2336,0.69034,CG30491;CG30495
0.44366,0.51742,1.3082,0.96754,0.55871,NaN,0.88819,0.81067,NaN,1.1847,0.61848,0.59338,0.77109,0.74488,1.0583,0.93744,
NaN,NaN,NaN,1.1953,NaN,NaN,NaN,1.1504,0.94029,1.1925,1.6388,NaN,1.3725,NaN,NaN,1.1497,nrv2
NaN,0.76163,0.72151,0.98782,1.3677,NaN,0.78487,0.89086,NaN,1.208,0.44357,NaN,0.63979,NaN,0.7029,1.1173,
0.93123,1.3144,1.2666,1.2015,1.4481,NaN,1.2231,1.3021,NaN,1.2234,1.1404,1.1139,1.2778,1.493,1.2239,0.99289,Nckx30C
2.5449,1.9513,2.4556,1.4731,NaN,NaN,NaN,2.3453,NaN,1.2286,1.8055,1.9044,NaN,1.7813,1.2937,1.2568,
0.73733,0.75313,NaN,1.0556,0.62017,NaN,0.98983,1.1549,NaN,1.2611,0.66568,0.63794,1.1166,NaN,1.3862,0.81203,
1.0011,1.1308,1.4664,1.3837,1.3109,0.92575,2.021,1.5429,1.2729,1.2639,1.0915,1.0699,1.4521,1.4705,NaN,1.4075,HP1b
1.6968,1.8453,1.4463,1.3179,1.4723,NaN,1.6327,1.5691,NaN,1.264,1.2606,1.0983,1.4306,1.3304,1.3259,1.3496,Vps20
NaN,1.0772,1.1673,1.316,0.92701,NaN,0.99849,1.0828,NaN,1.2677,0.82477,NaN,0.77523,0.89029,0.96564,0.89749,
1.3685,1.6101,1.3626,1.9388,NaN,1.4494,NaN,2.8905,NaN,1.2891,1.2059,1.5179,NaN,1.9021,1.4493,1.2228,qsm
0.58988,0.54785,1.0768,2.0242,1.7153,0.35209,2.0751,NaN,NaN,1.2938,0.51471,0.60903,0.81594,0.95488,NaN,1.1791,Dg
0.69193,0.70619,1.1037,1.0191,0.65648,0.93077,NaN,1.1196,NaN,1.2965,0.65942,0.72357,1.358,1.3372,1.2512,1.1966,PDCD-5
0.83527,0.70085,1.0679,1.4843,0.61002,NaN,NaN,NaN,NaN,1.3023,0.72138,0.94893,NaN,1.3551,NaN,1.6272,LSm-4-RB
0.76789,0.63311,1.1322,1.3278,1.6521,NaN,1.2032,1.5815,NaN,1.3166,0.95629,0.6317,NaN,NaN,1.2238,1.3627,bl
1.8528,1.2347,1.4704,1.2214,2.0044,NaN,1.6116,1.15,NaN,1.3545,1.4364,1.5436,1.3951,1.3448,1.2928,1.1626,
2.0181,1.3988,1.4035,2.7352,0.94645,1.0674,1.2467,1.0879,1.1528,1.3853,0.86265,0.80197,1.2425,1.4125,NaN,0.96401,CREG
NaN,NaN,NaN,1.0914,0.63943,NaN,1.3745,NaN,NaN,1.3969,0.77655,0.84869,NaN,0.91035,0.98804,1.1287,BM-40-SPARC
3.1196,2.7329,2.8723,NaN,1.9296,2.6667,2.9611,2.197,NaN,1.3982,2.1222,NaN,2.7044,2.8155,2.6923,2.7978,Ntf-2
1.1882,NaN,1.2303,NaN,NaN,3.6211,0.87787,NaN,1.1874,1.4278,NaN,NaN,0.89363,1.075,NaN,1.1001,CG18812-RA;CG18812
0.34866,0.22327,0.4403,0.3667,0.34274,0.28858,1.0753,1.2635,NaN,1.441,0.28501,0.27208,0.50236,0.54494,0.29015,0.4014,CG5706
0.42492,0.40285,1.8144,1.7841,0.077295,0.081729,1.3616,1.2508,NaN,1.4482,0.092688,0.089714,1.3564,1.7485,1.9797,1.8734,Cpr30B
0.68012,0.73717,1.0071,1.097,0.81913,0.63431,2.3863,1.1563,NaN,1.455,0.73193,0.76202,1.8409,1.0996,0.91956,1.1201,NHP2
2.1392,2.1226,1.8427,NaN,2.3278,2.0687,1.4996,1.6238,NaN,1.5018,2.3805,1.5856,1.6931,2.0619,1.5183,1.442,
